asin,overall,reviewText,summary
B0001UEHP8,1.0,"Okay, whether you have high expectations or none at all, this game just doesn't work. For one, the whole ""freedom of choice"" thing is a huge lie. If you want to be ""good"", you can rescue the same people over and over; for ""evil"", you kill them repeatedly. That's it. Second, you CANNOT choose where you want to go and what you want to do there. This game is mission-based, just like every other bland game this year. Oh, sure, you can ""choose"" which mission you want, but if you choose any but the ""right"" one, you'll find yourself getting killed in an instant. So no matter what you do, you have to follow a linear path.

The gameplay is a mess as well. The combat system doesn't work half the time (you'll often accidentally target people instead of enemies), and even when it does work, you'll still get killed because your skills aren't powerful enough. How do you get them more powerful? By going to the forest and killing bees until you level up. Hmmm, where have I heard this before? In every single other RPG to hit the market, perhaps? Unlike better games, where you always find yourself at the right level to move forward if you take on all the available enemies, Fable forces you to go back and forth between areas to get the enemies to respawn, watching a long loading screen each and every time you exit and enter an area. What fun.

Even the non-combat interface is completely dilapidated. Menus were a monster to navigate, and it took me a good ten minutes just to get my equipment on. And don't get me started on my attempt to use the controller customization feature.

Finally, there are the things that aren't ""broken"" exactly, but are still annoying. Like the people, for example. Even when you are just walking through an area, perhaps on your way back to kill more bees, NPCs are constantly chattering away in irritating accents. You can't get a moment's peace. Also, you can call me a prude if you wish, but I can't believe that ""burp"" and ""fart"" have their own buttons. This game is rated M for mature, but perhaps it should be rated I for immature.

Overall, Fable is an annoying, clunky, and frustrating game. Far from the promised revoloution, it delivers a package that doesn't even meet mediocre standards.",I can't believe it!
B00168PFFK,1.0,"I don't know why this product has so many positive reviews, plain and simply this product is junk.  Save your $2.00.

You get three screen protectors, good luck trying to get one of them applied correctly.  The sticky side is so strong you have to pull very hard to get it off the plastic protector.  I did this on my first attempt and hit my shirt, it picked up lint and immediately ruined it.  Also, the cloth provided sheds tons of lint, so don't use it to clean your screen before application.

I managed to get my second protector on as instructed and lint free.  However, it traps air bubbles like crazy.  It says to use the tool to get the air bubbles out, but no tool is provided.  I used the the cardboard packaging.  After about a 1/2 hour I got 1/2 the air bubbles out, however, there were bubble marks where some of the bubbles used to be.  I tried to remove the screen but it holds fast and it ripped when I finally removed it.

I tried a third time being extra careful and patient with my last screen cover, but still no matter how I tried applying the protector, it kept trapping bubbles and removing the bubbles still left bubble marks.  Lastly, the screen is about 1-2 mm too short for the PSP 3000 screen.",This is Junk
B00178630A,1.0,"Like many other people here, had waited an exorbitant amount of time for Blizzard to deliver this game. I thought they were making the game better (and the graphics and such appear stellar) but it now looks like they were just trying to force the online only platform during all the extra time and delays (I had it on order since 2010). I had hoped they would have learned from the Starcraft 2 debacle that people don't like the always on line games.  I travel a lot and don't always have an internet connection to play (like on long flights or in a building with no wireless reception and no wired connection)... they should have at least provided an option like Oblivion Skyrim (you need to be online to start the game... but then can be offline and your game needs to be saved locally until you play again online and the latest games can be synced with the Cloud).  Unfortunately, my interest to play this game was tempered so much by online only.. I am NOW returning the game and will buy something else... lots of other good games without online requirements still to play.",Have to be Online AT ALL TIMES. It pained me to return it
B00BGA9Y3W,1.0,"Sorry, I found this game so monotonous as hell, maybe its not my type of game but daamn, just shoot, walk, shoot again and walk.... =/",Just only hype....
B001E93IWI,1.0,They weren't long enough & broke easily.,One Star
B0012N94WO,1.0,Could only play for a few minutes after installing as the controls were too weird.  Could not move while aiming.  Limited ammo. Boss within first few minutes.  No training.  Camera angle was distracting.  Moving around felt and looked strange.  Died easy in easy mode.,Bad controller setup.
B000VOSQ0Q,1.0,this game was too complicated for me to get working on my computer.  There is too much stuff I need to download and I don't think its compatible with my computer.,too complicated
B0019MLWL4,1.0,"Ugliest, most uncontrollable game I've ever played. I'm happy I only paid $5 for it, I might as well throw it in trash.",This thing sucks as much as Comic Sans font
B00ZJ20YQO,1.0,"DSP HATES IT
It must be bad",Garbage. COMPLETE GARBAGE
B000G0LE0Y,1.0,"There's too many glitches and errors in this game, the story plot is horrible as well as the missions presented in this game. Sega rushed this game out a little too quick and that was their down fall. This game makes Secret Rings look as good as Sonic 3.

Gameplay - 2/5
Music - 4/5
Story - 2/5

The only good thing about this game is the soundtrack excluding the character's theme songs. There's better Sonic games out there, look elsewhere.",Even Sonic Fans Won't Like This
B00Y4C69YQ,1.0,"Honestly, there is a demo for it, try it.
From what I played it has a similar play style of smasg bros- attack- damage increase- knock opponents off the screen.
But it is sluggish, and just from seeing how Poe and Tigress play there is easily going to be characters that are good and some that are unbalanced.
Items seemed OK but it is a strange game, if it was more fast paced and actually had good attacks than it would be great, sadley I would have bought it only because it was pretty dam close to smash bros, but it feels unfinished.
I don't recommend it but try the demo and see if you like it.",Didnt like it.
B000RPHJDO,1.0,"I really was looking forward to playing this game. The splash screens were not click through type so you Have to sit and endure Always. Never made it past the opening part of the Game Start as it went through a very long story board type opening then stops each and every time on a wide white screen.

Online found out that many people have this problem. Some found solutions. I tried them all, nothing worked. Bummer as it really sounds like it would be a great game to play. No official help online, or support.","Can't get past the opening which is way, way, way too long"
B00AY1ALVS,1.0,Same EA product with all of the usual things people complain about.,Still the same weak EA Sports product
B00BMFIXT2,1.0,its a little bit of assassin in it makes no sense at all,One Star
B0006GBD04,1.0,Well yet again is another game sold that would not save due to corruption issues. Not mentioning this in your selling guide is really low so other people beware.,so about that save feature...
B0017HPE7E,1.0,"EVERY TIME TEAM SONIC COMES CLOSE TO CREATING SOMETHING SPECIAL, THEY SCREW IT UP WITH STUPID IDEAS THAT MAKE NO SENSE WHATSOEVER! A WEREHOG? WHY WOULD ANYONE BUY A SONIC GAME THINKING,"" YOU KNOW WHAT? THIS SONIC GAME IS GOOD, BUT WHAT WOULD REALLY MAKE IT GREAT IS IF SONIC GETS TURNED INTO AN UNBELIEVABLY SLOW TRODDING HAIRBALL THAT DRAGS ON LIKE STORIES FROM A SENILE OLD GRANDMA WHO DOESN'T GET ANY ATTENTION. IF THEY WOULD HAVE JUST KEPT THE FORMULA THAT MADE SONIC A SUCCESS, FAST SCROLLING 2-D LEVELS. LEVEL AFTER LEVEL OF 2-D SPEED AND ADRENALINE PUMPED ACTION. THE ORIGINAL SONIC WAS RATED WITH 9'S AND 10'S, SONIC FOR THE NEO POCKET RECEIVED 9'S AND 10'S AND SONIC RUSH RECEIVED 9'S AND 10'S. EVERY OTHER GAME NEVER MADE ANYTHING ABOVE A 6! WHY? BECAUSE TEAM SONIC CLUTTERS THE GAMES WITH STUPID TOWNS AND POINTLESS CONVERSATIONS WITH RETARDED TOWNSFOLK ABOUT FREAKING ICE CREAM BEFORE YOU CAN ADVANCE TO A SLOW TRODDING STAGE WITH A DUMB IDEA (WEREHOG) THAT DOESN'T BELONG IN A GAME THAT IS SUPPOSED TO BE BASED ON SPEED! GET RID OF SILVER, SHADOW, AMY AND ANYONE WHO ISN'T SONIC OR TALES. GET RID OF ANYTHING THAT IS NOT A SCREAMING, RAGING ROLLERCOASTER SPEEDFEST AND YOU'LL HAVE A WINNER JUST LIKE THE GOLDEN RELEASE OF SONIC 1&2. TEAM SONIC. GIVE US SIDE SCROLLER BOARDS WITH LOOPS AND BREAK-NECK SPEED AND STOP YOUR IMAGINATION RIGHT THERE! IF THIS GAME HAD NO TOWNS OR PEOPLE AND HAD 40 MORE SIDE SCROLLER BOARDS AND NO NIGHT-TIME CRAWLERS WITH THAT DUMB WEREHOG AND THIS GAME WOULD HAVE BEEN A 10. INSTEAD, I HAVE TO GIVE IT A 2. GET TEAM SONIC TO BUILD THE LEVELS AND TEAM MARIO TO FIX THE FREAKING CAMERA AND THEN YOU'LL GET A 10. ALL YOU DID WAS JUST MAKE SONIC FANS ANGRY AND I SWEAR I WILL NEVER TAKE ANOTHER LOOK AT A SONIC GAME EVER AGAIN.

-UPDATE 11-7-10-

I STILL HAVE NOT LOOKED AT ANOTHER SONIC GAME SINCE I WROTE THIS REVIEW. UP YOURS SONIC!!!",SONIC IS FAST!!!... (at going downhill)
B00LG6BTVQ,1.0,"Worked great for about a month, then just refused to charge.",Stopped Working After a Month
B00E1A1SP6,1.0,Purchased it because my son wanted one so bad but had to get it somewhere else.,One Star
B007PY3ZPG,1.0,I WAS TRICKED AND LIED TOO .. THIS THING DOSE NOT DISPLAY UP TO FULL 1080P .. ONLY TO (720)  I WAS VERY UPSET WHEN I GOT THIS TRASH  THIS IS NOT A GOOD SELLER IF SOME ONE IS LOOKING TO MAX THERE DISPLAY ON THE WII  SMH,A TRASHY SELL OF A LIE
B001383L2W,1.0,"So i bought this game yesterday 6-11.  Couldnt wait to get off work so i could go play.  put the game in and actually sit through the tutorials.  Lets say i was very impressed with gameplay and how fluent it worked.... remember i am only in the tutorial.  After i finished tutorial i went to the saga.  Now being someone that owned all budokai's i was expecting a decent length and substancial storyline.  To say the least i was wrong.  I finished the story that night.  I mean what a rip i only got up to the cell saga?  I came in thinking it was all the way through to buu at least and had all the characters i came to love in budokai tenkaichi 3, seeing as that only makes sense.  What really bothers me is after each saga they fabricate a movie based on gameplay to wrapup what happened.  I think this space and time could have been better put into including a buu saga.  I mean most people just skip these low budget in game movies anyway, so why not give us something we want.  When i buy a game i buy it for substance some good gameplay.  Not half of a game with better graphics.  Btw they include the first disk of season one ......  Season one came out over a year ago and most of us fans already bought it.  Why give out something we already own.  Even worse why give out part of a season where you will still have to go out and buy the whole thing if you don't own it.  I mean seriousl what are we going to do with one out of six disks in a set.  Just a way to get ppl to sink more money into this franchise.  I strongly urge everyone to rent this game before buying so you can see exactly what its worth.  This game to me is WAS worthless and i am ashamed that they would even sell this game in the market let alone sell it for such a steep price.  Trust me you are better off getting something else.

Cons
1.  Game is short only through the cell saga.
2.  Game has cutscenes every 5 seconds during actual fighting which throw you offguard and confuse you.
3.  Maps are incredibly small.  you can successfully hit someone about 2-3 times before you hit a wall.
4.  Gamplay has no learning curve its ez to play with no skill involved
5.  YOU HAVE UNLIMITED SPECIALS with little to no delay before refire. tisk tisk
6.  Limited characters maybe 13 or so.
7.  Transformations make you weaker......why why would they do that.
8.  Game is 100% completed in one night.
9.  Absolutely no replay value at all.  I sold the game first chance i got.
10. When you near the end you hope the game finishes soon because it is soo bady.

Pro
1. Graphics look pretty good.

I know you were expecting more pro's but honestly this game is terrible.",Upgraded Downgrade
B000ZKA0J6,1.0,"I bought this game as a preorder [Full Version box set]. I went through the annoying system of creating a Battlenet account to play the Solo version of the game. For a long time I would play with no more hassles than the occasional server down time [makes a solo play part useless].

Well today Blizzard has REEVALUATED the product decieding it is a STARTER version ,and has removed Solo play alltogether. As well as haveing limits on Player vs Player play. All I need do is BUY another game to get access to what I PREORDED in the fist place.

Since they can make you pay AGAIN ,for what you bought when ever they deem I suggest you avoid ALL BLIZZARD games.",How Things Change
B00ZJ20YTG,1.0,Cant play offline sucks it doesnt say that on the discription when i bought it,need internet to play
B00452VG02,1.0,"A mediocre (if occasionally humorous) single player, coupled with a multiplayer that fails in the most basic of all ways: it simply doesn't work.  At all.",Another piece of wasted potential
B00JYGT2BY,1.0,I got this for a gift for a family member and the first time used the zipper broke ! it would be nice to get my money back ! selling me a broken item !,not worth the money ! broken item
B000QSVMSK,1.0,"This game was a lot of fun for console, but PC play was lame.  If you disagree with this you can buy mine.",No fun for PC
B00007M0I5,1.0,"Do not trust madcatz memory card! It may seem like a good choice at  first because it is cheaper, but this is one of those rare times that u should pay more for the brand name.  I know because i had to suffer at its hands! *wipe a tear*  I should have been warry of it when i discovered some memory from a different game on it when it was fresh out of the package, but i wasn't.  Foolishly, I moved almost all of my games' memory onto this card, big mistake! Then when i tried to play one, the system told me the memory was corrupt and I checked the other games on it and the majority of them had become corrupt! I lost years worth of memory because of that memory card! It even had a guarantee not to lose memory, HA! LIARS! Supposedly you get a bonus free case, this would be great except you wouldn't need the case if it had just matched the standard memory card size, then it would fit in the memory card holder, located in every game's case.  Its a miracle that I did not put ""super smash brothers melee"" onto it or I would be suicidal. The only purpose of this memory card is to retain memory and it can't do it!  buy the safer nintendo brand memory cards for an extra few bucks, you'll save yourself a lot of heart-ache, you can get your money back, but there's a lot more effort to get your memory back!",JUNK! OMG! NOOO!!!
B00EPOTBUC,1.0,"Worst game I ever played. The development team does not listen to the community and the majority of negative feedback on the forums is rewarded by deletion and infraction points. The game is entirely zerg oriented and there have been no updates for team-play content in the past 2 years. The classes are highly unbalanced and balance patches are only made every 3+ months. The game lacks common sense or logic, for example:

1- Guardians have shields, but can block nothing with the shield. The shield is aesthetic.
2- Guardians can set enemies on fire better underwater than they can on land
3- Flying insect enemies can chase you and swim underwater...
4- Thieves can stealth out of a fight any time they want as many times as they want whenever they want and heal to full then come back and fight you some more

Events and updates to the game have been made through the ""Living Story"". The living story is a group of events that require no coordination or effort. You simply stand still and tediously attack enemies in sequence until they die along with 100 other people.

In-order to coax players into doing tedious content that they do not want to do; developers have made newer armors and items require that players grind through numerous things in the game. For instance; if you would like to get Ascended armor (whose only purpose is to grant you resistance for a repetative ladder-style dungeon where monsters deal a unique damage type that requires ascended armor to defend against) you must:

1- Level up a craft to 500
2- Tediously farm world events repetitively to collect thousands of dragonite ore
3- Tediously farm dungeons repetitively to collect emperyeal stars
4- Craft more tedious stuff (which is time locked, you can craft 1 per 24h so it will take a month to craft a full set)
5- Gather thousands of additional ingredients that had no purpose in the past (so you most likely had enough, but since they were so worthless you sold them)

Other genius updates include zone limits. The game is zerg oriented, yet the zones where events take place in have a hard cap on the number of players that can be in them. If your server schedules an event at a given time. You will not be able to enter the zone 60 minutes before the event starts. You will have to go there an hour earlier and stand there doing nothing.

Save your money. Do not buy this.
I absolutely would not recommend. I have never in my life regretted the purchase of a game in 20 years of gaming until I played this sad excuse of a game. The director of this game is the same person responsible for the abomination graphics engine Warcraft 3 used. The other 2 founders of ArenaNet have also left the company. Do not be fooled by the use of the ""Guild Wars"" name.",Worst game
B00IA2NYT4,1.0,"the ps3 is damaged reads the dvd, but not games",One Star
B01E8RS598,1.0,"Terrible mic quality. Headset is made for Chinese markets, so anyone with a standard head size is screwed. Not sure what I expected from Sades. My mistake. Seller is great, product is trash.",Last Sades I will ever buy.
B001DZ1GM2,1.0,"So i intsalled the game it crashed the first time i tried running it then the next time it didn't crash but when i started the first lvl (the training lvl) i got to the part where u hafta get to cover...when i get to cover tho it puts me on the wrong side of the cover and an error message in the top part of the screen says action not available no matter what i do (restart the game, uninstall/reinstall, change screen resolution...etc.)i cant do anything...nothing has worked so far...i'm very dissapointed all i wanna do is play the god d*mn game...if u kno how to get past this error plz let me kno!!!!!! thnx.",cant even get past the training lvl...any help?
B00BBU8VFY,1.0,Not control,One Star
B005OE9YUY,1.0,The game itself alright but this Steam program that the game runs on takes over your computer...  Purchase only if you are a serious gamer....,Requires a program called Steam
B0012LGHZI,1.0,"Prototype fails in the one thing I ask of a game: That it work. In brief, it doesn't much of the time, and when it does work, it's unimpressive.

It seems that Activision released this without adequate testing (if they tested it at all on systems other than the one owned by the guy who wrote it and maybe his mom's computer). The Web is replete with stories about how to fix the audio bug-- although there's no official patch on Activision's website, and the only thing at ""prototypegame.com"" is an advertisement for the sequel. The unofficial fixes require changing component settings and removing HID devices from the Device Manager-- drastic steps which I haven't seen recommended since the days of DOS and various incompatable video standards.

I've completed the first part, which seems to be a flash-forward scene. You click various buttons and do various things, none of which are really different from any other combination of clicks. Some seem to do damage in a wide range, others directly ahead of you. It doesn't matter. Just whale on the buttons.

You can run up buildings, which is cool a couple of times, until you realize there's no point to doing that (except perhaps to escape the chaos of Times Square). There's nothing on the rooftops except generic 1990s-looking textures. Fortunately you can fall any distance without injury.

The sluggishness of the game is confusing. It'll become unresponsive at odd times, and menus are nearly unmanagable, because of the really poorly designed screens and cursor. The menu screens are almost all black, and the mouse cursor is red-- which any freshman design student can tell you is a bad choice, being invisible to a large part of the population (yes, myself included) and hard to see for the rest. Furthermore, the mouse cursor jumps about by fits and starts-- if it was smoother, perhaps you could figure out where it was, but that's not really an option. You'll have to use the keyboard.

I suppose that you could have fun with this, smashing the same cars and beating up the same passers-by (textures are very limited and everything looks like everything else) while growing tentacles out of your body, but the appeal of that is limited for me. I got a little leery. Your first mission is to kill lots of soldiers. Why? OK, they killed some mutants and a girl that might have been infected, but about halfway through I paused and asked ""OK, why am I killing soldiers? Why am I not killing the icky mutants that are attacking innocent passers-by who all look the same?"" If it had been adequately described-- i.e. if there had been a writer attached to this project-- maybe I would have gone ahead and not felt like I was a super-powered terrorist. I know the basics of the story from the box description, but it's rather turgid and inconsistent. And it really should be assumed that the player starts from ground zero-- knowing nothing and learning things through play.

If you want a good third-person shooter, pick up the Mass Effect games. If you want a really good first-person shooter, invest in Deus Ex (three installments, all of which rock). If you want an extraordinary action story set in a unique environment, get Bioshock I and II (the sequel is nearly as good as the original and has better controls). If you want to see tentacles growing out of someone's body-- well, Japanese video has lots of that. If you like changing all the options on your system to suit one game that isn't a whole lot of fun, THEN try Prototype.",Might be a decent game if it actiually worked
B0002BIDEM,1.0,"My review could be an exact copy of what J. Tyson wrote on August 17:

 enjoyed playing this game up to the point it becomes impossible. How is this? It started in Dragast, the second stage of the game. The first puzzle I encountered was visually blocked out by green and white vertical lines that cover the entire screen. I thought maybe this was an isolated problem. I was able to get by this one puzzle referring to a walkthrough (kind of ruins it for me). The very next puzzle had a similar problem. I contacted Dreamcatcher and was given a patch to download and install that was supposed to fix the problem. No such luck. I have since been requested to provide some information from my pc and I am waiting for a response. This problem occured with two separate sets of disks. Only some of the puzzles are affected. I think the graphics are great and would love to be able to play this game minus the problems

_____________________

I've done EVERYTHING company has advised over their website, to no avail.  It would be REAL NICE to spend this kind of money for some enjoyment and get GRIEF instead.  Otherwise, as far as it goes (up until Dragast), it's a pretty nice game.  Nice if company did more for quality control.","I'd love to be able to play the whole game, but..."
B001GZT1UI,1.0,"it did not do its job well

was a waste of money worst cleaner ever....",Worst Cleaner Ever....
B000AYIP8A,1.0,All of the games are to old to play on my PC. The game itself just makes my PC puke pixels all over my screen.,The game gives me a headache.
B000ZKA0KA,1.0,"Wow, how this thing was ever considered as a finished product is beyond me.  This has to be one of the worst PS3 titles I've encountered.  The biggest complaint I have involves the numerous bugs.

Installing the game itself and trying to play it for the first time gives you an error message.  It seems as if the 1.10 patch which you are forced to download corrupts your save game.  Since the game creates a save game when it first launches it is an impossible error to avoid.  After patching the game you will be informed that your save game is corrupt and that you must manually exit the game and delete the save game.  Seriously, the game forces you to delete its own save game just to play it for the first time.

While playing this game you will encounter the following:  You will get lock-ups leading to a frozen console.  You will see other players' characters missing weapons.  Most of the servers' ""channels"" will be full and open games will be difficult to find.  You will encounter serious lag during play.  Closer aiming will inexplicably cause your character to stand up.  The menus will respond slowly to your input.

There are other issues with this game beyond the glitches alone.  The graphics are poor for a PS3 title.  The textures are muddy and low resolution.  The game has plain lighting effects which fail to impress.  The blood effects appear to lifted directly from Mortal Kombat.  The control scheme is unnecessarily complicated with poor default mapping.  All buttons on the controller are used and some serve multiple functions based on the duration of a press.  Unfortunately, this doesn't really lead to superior control versus other, similar, games.  It's complex for the sake of complexity.  Features you expect in a modern game such as the ability to join one of your friend's games in progress, player muting, or even something as simple as your own name being highlighted in a long list of party members are absent.  Trophies, which are indicated on the box itself, are nowhere to be found.  They are promised in a future patch.

I'll write briefly about the headset as it's likely that's a main draw in the purchase of this bundle.  There are a couple of minor problems with the device.  The unit itself is quite heavy.  It is by far the bulkiest Bluetooth headset I've used.  You may feel your ear getting fatigued earlier than you'd hope for because of this.  The ear cushion is not adjustable in size so it may flop around in your ear as it dangles from the headset's hook.  The main attraction to be found is the giant mute button in the middle of the device.  Most headsets created  for use with cellular phones have an inconvenient mute function.  You will also receive on-screen notifications when changes are made to the unit such as volume adjustment, the mute toggle, and a battery charge indicator.

SOCOM: Confrontation isn't ready for prime time.  It has far too many show-stopping bugs and feels unpolished in most aspects.  I would stay far away from this game.  The headset is worth a purchase, but the game itself is not.",Avoid this game
B00FATRKOK,1.0,"I usually don't support the terrible money hungry inefficient nazis at microsoft but it was cheap and i thought no way will i regret this.....Wow never done with surprises in my life. First off sega, nintendo 64 xbox then ps3 thats my line up through the ages. Ever since ps3 i laugh at the pathetic attempts xbox fans try to make at bashing ps3. First off graphics suck on all but maybe 2-3 games, then i find out THEIRS NO SPLIT SCREEN CO OP GAMES (why i bought it). You want a graphical comparison here compare the identical games crack down 2 a third part starting from super cop to prototype. Basically same premise sort of but on different teams. Its a joke like playing an old school nintendo game compared to prototype 1. Actual issues you say well here, i almost beat gears of war 3 and halo 4 guess what was randomly corrupted after owning it for maybe 2 months. Yeah that was a great surprise on top of the fact that the finish on the xbox is so easily scratched scuffed it must be some super plastic japan uses because my xbox looks worst then my 1.5 year old ps3. You can sit here and tell me a bunch of lies about ps3 but i build computers ok so here is a fact. PS3 AND PS4 ARE SUPERIOR IN ALMOST EVERY WAY. less tech issues better games and graphics and for that weird comment i like the social aspect of xbox 360 well you are stupid because you have to be half brained not to be able to use the ps3 flawlessly. Once again you fail microsoft about 50 years of disappointments, don't stop now keep going strong.",Thought id enjoy having 2 systems
B005TMFXZQ,1.0,"I have played every game from the Heroes of Might and Magic Series, and I still play Heroes III occasionally. Even Heroes IV, which brought down the original maker of the series is more engaging and fun. There is a freely available demo for Heroes VI, I do strongly suggest you download it and play it before you buy the whole game. If you've never played a Heroes game you may find it interesting, but to me it is just too much failed expectations.",Dissappointing...
B00MYTSDU4,1.0,"Great mouse, feels good in my hand all day long.

UPDATE: This piece of junk broke after exactly 8 months of use. I sat down at my computer this afternoon and the mouse was unresponsive, weird. A couple minutes later the lights turned off, okay. Plugged it in and out, 2.0 and 3.0, reinstalled the infamous synapse crapware, tried a different computer, prayed to the ancient cannibal gods, you know the usual stuff. Now I need to decide if I'm going to use this thing for batting practice or see if it I can chop wood on top of it, you know recycling is important to me, go green!",Junk
B00319DX4M,1.0,"Awful game, that discourages exploration. So damn linear in level design with a boring story to boot.",So damn linear in level design with a boring story to boot
